Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
United Arab Emirates,ARE,Member State,GULFMET,Member body,Full Member,0.7520,49,11%,0%,12,14,78,26,24,1,12,"7,502",65%,19,49,196
United Kingdom,GBR,Member State,EURAMET,Member body,Full Member,0.9816,4,100%,100%,447,92,372,44,698,13,175,"48,981",88%,123,115,"1,198"
United States,USA,Member State,SIM,Member body,Full Member,0.9867,3,100%,100%,461,83,"1,979",9,559,1,172,"30,193",94%,222,136,"5,519"
Uruguay,URY,Member State,SIM,Member body,Affiliate,0.6573,58,56%,5%,33,33,12,45,31,,,"1,685",59%,4,4,28
Uzbekistan,UZB,Associate of the CGPM,COOMET,Member body,Affiliate,0.5250,84,0%,,1,5,11,29,,,,297,76%,73,17,212
Vanuatu,VUT,,,Correspondent member,,0.1326,181,0%,,,,,,,,,2,,,,
"Venezuela, Bolivarian Republic of",VEN,,,,,0.2899,151,0%,,,,9,,,,,89,29%,1,1,9
Viet Nam,VNM,Associate of the CGPM,APMP,Member body,Associate Member,0.7061,51,44%,,38,10,253,75,20,0,3,"8,235",65%,44,41,"1,265"
Yemen,YEM,,,,Affiliate,0.2912,150,0%,,,,0,,,,,49,0%,0,0,0
Zambia,ZMB,Associate of the CGPM,AFRIMETS,Correspondent member,Affiliate,0.3873,117,11%,,2,8,1,23,,,,48,18%,0,0,8
Zimbabwe,ZWE,,,Member body,Affiliate,0.4163,108,0%,,,,2,36,19,,,24,47%,0,1,15
